Dosya,Length,Chroma Stft Mean,Chroma Stft Var,RMS Mean,RMS Var,Spectral Centroid Mean,Spectral Centroid Var,Spectral Bandwidth Mean,Spectral Bandwidth Var,Rolloff Mean,Rolloff Var,Zero Crossing Rate Mean,Zero Crossing Rate Var,Tempo,Music Genre
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.30639264,0.08847443,0.168794,0.002648518,2773.908630537592,604915.0571931864,2454.219587467412,72206.58128778727,5482.428908289504,1556324.2905716524,0.14907574477886978,0.007346284541413948,161.4990234375,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.307179,0.0890798,0.15365516,0.0028400873,2570.389375652461,525113.1264473657,2348.642462827534,64284.98587560569,5045.316788956926,1466743.1864397812,0.13701687749539312,0.005883866665445338,161.4990234375,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.31417912,0.0852685,0.14636724,0.0019120311,2750.226534708248,193962.3179593617,2314.6635763905037,31763.671627445903,5233.69924934256,574388.3565957865,0.16777799639127763,0.0023910383536838394,107.666015625,unknown
002 - Müslüm Gürses - Tanrı İstemezse.mp3,37.79047619047619,0.30372092,0.09311158,0.13284035,0.0059589343,2401.0337853621572,885046.391844409,2311.623218751587,387309.5874847034,4853.409390836148,3088084.0990470974,0.11924799888667076,0.0060414786530923895,107.666015625,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.34686056,0.109355286,0.121085,0.007738672,2270.505066715059,1293150.1425148111,2376.6225160826084,268794.1573822182,4396.077841481855,3985117.335754775,0.11123631912442396,0.010124379620406954,75.99954044117646,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.31238535,0.09241192,0.18573304,0.007449062,2158.2918417600445,626522.3424491384,2328.5442775679066,163711.61934131206,4242.815020161291,2185264.339640634,0.10592732934907834,0.0045307018757423404,75.99954044117646,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.32568157,0.08935453,0.20660636,0.006846089,2326.471861953554,663052.3633978303,2449.9545701038837,186743.90714698733,4668.031281502016,2444713.3910585516,0.10796685987903226,0.004121757843031188,75.99954044117646,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.37850478,0.08363477,0.20813161,0.006395484,1893.6794580228236,173322.79720499067,2171.615272465377,84616.53721931113,3891.2780367943546,933044.5249664673,0.07919921875,0.0007497843729186169,75.99954044117646,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.3308883,0.0936833,0.2043502,0.00754638,2163.38593179842,751418.3085387367,2318.6287563366495,207433.90059563605,4372.103547127016,2411269.271365165,0.09970703125,0.005651469516314669,75.99954044117646,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.31428578,0.09000772,0.204011,0.007013748,2204.5217234885276,446097.98900085926,2370.908303971227,137055.21169897966,4369.930380544355,1635196.7453463888,0.10534949236751152,0.003384152925838017,75.99954044117646,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.27325198,0.08999141,0.16770874,0.0033193277,2340.667650596049,665614.5673528349,2487.6418502392794,157557.1083656108,4671.395224294355,2494572.904883612,0.10060888896889401,0.00400945483325593,151.99908088235293,unknown
002 . Aşkın Olayım - Simge.mp3,25.18204081632653,0.3371331,0.08665298,0.22168632,0.0059077293,2326.994011094132,504482.5464460441,2483.4728074701793,148832.26690002487,4693.9306640625,2130208.7514984994,0.10853479622695852,0.0032237484451615073,75.99954044117646,unknown
